    a   b   c   x   y   z   d   e   f   g   i   h   j   k   m   l
a   0  -2  -3  -2  -7  -3   6  -4  -9  -3  -6 -10 -11 -12 -18 -11
b   3   0  -1   0  -5  -1   9  -2  -7  -1  -4  -4  -9 -10 -16  -9
c   4   2   0   2  -3   1  10   0  -5   1  -5  -6 -11 -12 -18 -11
x   !   !   !   0   !   !   !   !   !   !   !   !   !   !   !   !
y   !   !   !   !   0   !   !   !   !   !   !   !   !   !   !   !
z   !   !   !   1  -4   0   !   !  -6   2  -6  -7 -12 -13 -19 -12
d   !   !   !   4   !   !   0   !   4   !   4   3  -2  -3  -9  -2
e   !   !   !   !  -2   !   !   0   !   1  -2  -2  -7  -8 -14  -7
f   !   !   !   !   !   !   !   !   0   !   0  -1  -6  -7 -13  -6
g   !   !   !   !   !   !   !   !   !   0  -3  -3  -8  -9 -15  -8
i   !   !   !   !   !   !   !   !   !   !   0   !   3   2  -5   2
h   !   !   !   !   !   !   !   !   !   !   1   0  -5  -6 -12  -5
j   !   !   !   !   !   !   !   !   !   !   !   !   0  -1  -7   0
k   !   !   !   !   !   !   !   !   !   !   !   !   !   0   7   !
m   !   !   !   !   !   !   !   !   !   !   !   !   !   !   0   !
l   !   !   !   !   !   !   !   !   !   !   !   !   !   !  -7   0
